price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,luxury_score,area_sq,price_log
13300000,7420,4,2,3,1,0,0,0,1,2,1,4,55056400,16.40327459319198
12250000,8960,4,4,4,1,0,0,0,1,3,0,4,80281600,16.32103649495501
12250000,9960,3,2,2,1,0,1,0,0,2,1,3,99201600,16.32103649495501
12215000,7500,4,2,2,1,0,1,0,1,3,1,5,56250000,16.31817526267398
11410000,7420,4,1,2,1,1,1,0,1,2,0,3,55056400,16.25000072183826
10850000,7500,3,3,1,1,0,1,0,1,2,1,4,56250000,16.199675637950744
10150000,8580,4,3,4,1,0,0,0,1,2,1,4,73616400,16.13298426345207
10150000,16200,5,3,2,1,0,0,0,0,0,0,0,262440000,16.13298426345207
9870000,8100,4,1,2,1,1,1,0,1,2,1,4,65610000,16.105010411409665
9800000,5750,3,2,4,1,1,0,0,1,1,1,3,33062500,16.0978929436408
9800000,13200,3,1,2,1,0,1,0,1,2,1,4,174240000,16.0978929436408
9681000,6000,4,3,2,1,1,1,1,0,2,0,2,36000000,16.08567575970221
9310000,6550,4,2,2,1,0,0,0,1,1,1,3,42902500,16.04659964925325
9240000,3500,4,2,2,1,0,0,1,0,2,0,2,12250000,16.039052443617866
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,60840000,16.039052443617866
9100000,6000,4,1,2,1,0,1,0,0,2,0,2,36000000,16.02378497148708
9100000,6600,4,2,2,1,1,1,0,1,1,1,3,43560000,16.02378497148708
8960000,8500,3,2,4,1,0,0,0,1,2,0,3,72250000,16.008280784951115
8890000,4600,3,2,2,1,1,0,0,1,2,0,3,21160000,16.00043760749009
8855000,6420,3,2,2,1,0,0,0,1,1,1,3,41216400,15.99649282919907
8750000,4320,3,1,2,1,0,1,1,0,2,0,2,18662400,15.984564258333798
8680000,7155,3,2,1,1,1,1,0,1,2,0,3,51194025,15.976532086636533
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,64802500,15.972491677099528
